Section I - Assets,Foreign Currency,Total Currency,DropdownValue
(B) Of which: NHA MBS pooled and unsold,0,0,AY
(C) Uninsured,0,0,AY
(D) Reverse Mortgages,0,0,AY
(ii) Non-residential,0,0,AY
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AY
"5. Land, buildings, and equipment, less accumulated depreciation",0,4422,AY
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AY
(a) Insurance-related assets,0,0,AY
(b) Accrued interest,0,376,AY
(c) Prepaid and deferred charges,0,567,AY
(d) Goodwill,0,0,AY
(e) Intangibles,(e) Intangibles,(e) Intangibles,AY
(i) with definite lives,0,0,AY
(ii) with indefinite lives,0,0,AY
(f) Deferred tax assets,0,0,AY
(g) Derivatives related amounts,0,0,AY
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AY
(i) Interests in associates and joint ventures,0,0,AY
(j) Other,0,3728,AY
Total  Assets,0,89108,AY
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FS
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,FS
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51623,1390781,FS
2. Securities,2. Securities,2. Securities,FS
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FS
(i) Treasury Bills and other short term paper,0,560832,FS
(ii)Other securities,0,1047578,FS
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FS
(i) Debt,12042,850287,FS
(ii) Shares,20072,57780,FS
3. Loans,3. Loans,3. Loans,FS
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FS
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FS
(ii) To regulated financial institutions,2572,15024,FS
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FS
(iv) To foreign governments,0,0,FS
(v) Lease receivables,0,1210039,FS
(vi) To individuals for non-business purposes,0,964544,FS
Of (A) Secured by residential property,0,84274,FS
which: (B) Secured by other than residential property,0,0,FS
(vii) Reverse repurchase agreements,0,989670,FS
(viii) To individuals and others for business purposes,6259,1273059,FS
Of (A) Secured by residential property,0,592500,FS
which: (B) Secured by other than residential property,6259,680559,FS
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FS
(i) Residential,(i) Residential,(i) Residential,FS
(A) Insured,0,17271098,FS
(B) Of which: NHA MBS pooled and unsold,0,746547,FS
(C) Uninsured,0,22638392,FS
(D) Reverse Mortgages,0,1547965,FS
(ii) Non-residential,0,2257264,FS
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FS
"5. Land, buildings, and equipment, less accumulated depreciation",0,42202,FS
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FS
(a) Insurance-related assets,0,0,FS
(b) Accrued interest,0,421717,FS
(c) Prepaid and deferred charges,0,29441,FS
(d) Goodwill,0,56406,FS
(e) Intangibles,(e) Intangibles,(e) Intangibles,FS
(i) with definite lives,0,152923,FS
(ii) with indefinite lives,0,0,FS
(f) Deferred tax assets,0,11245,FS
(g) Derivatives related amounts,0,184098,FS
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FS
(i) Interests in associates and joint ventures,0,0,FS
(j) Other,47,98630,FS
Total  Assets,92615,53070975,FS
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BB
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21370,31179,BB
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",25034,32202,BB
2. Securities,2. Securities,2. Securities,BB
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BB
(i) Treasury Bills and other short term paper,0,0,BB
(ii)Other securities,0,0,BB
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BB
(i) Debt,0,0,BB
(ii) Shares,0,0,BB
3. Loans,3. Loans,3. Loans,BB
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BB
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BB
(ii) To regulated financial institutions,0,0,BB
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BB
(iv) To foreign governments,0,0,BB
(v) Lease receivables,0,0,BB
(vi) To individuals for non-business purposes,0,0,BB
Of (A) Secured by residential property,0,0,BB
which: (B) Secured by other than residential property,0,0,BB
(vii) Reverse repurchase agreements,0,0,BB
(viii) To individuals and others for business purposes,0,0,BB
Of (A) Secured by residential property,0,0,BB
which: (B) Secured by other than residential property,0,0,BB
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BB
(i) Residential,(i) Residential,(i) Residential,BB
(A) Insured,0,0,BB
(B) Of which: NHA MBS pooled and unsold,0,0,BB
(C) Uninsured,0,0,BB
(D) Reverse Mortgages,0,0,BB
(ii) Non-residential,0,0,BB
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BB
"5. Land, buildings, and equipment, less accumulated depreciation",0,732,BB
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BB
(a) Insurance-related assets,0,0,BB
(b) Accrued interest,0,0,BB
(c) Prepaid and deferred charges,0,659,BB
(d) Goodwill,0,1196,BB
(e) Intangibles,(e) Intangibles,(e) Intangibles,BB
(i) with definite lives,0,1904,BB
(ii) with indefinite lives,0,0,BB
(f) Deferred tax assets,0,0,BB
(g) Derivatives related amounts,0,694,BB
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BB
(i) Interests in associates and joint ventures,0,0,BB
(j) Other,3709,7555,BB
Total  Assets,50113,76121,BB
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FM
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,FM
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",5135,147581,FM
2. Securities,2. Securities,2. Securities,FM
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FM
(i) Treasury Bills and other short term paper,0,124487,FM
(ii)Other securities,0,0,FM
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FM
(i) Debt,0,0,FM
(ii) Shares,0,0,FM
3. Loans,3. Loans,3. Loans,FM
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FM
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FM
(ii) To regulated financial institutions,0,0,FM
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FM
(iv) To foreign governments,0,0,FM
(v) Lease receivables,0,0,FM
(vi) To individuals for non-business purposes,0,5904260,FM
Of (A) Secured by residential property,0,963653,FM
which: (B) Secured by other than residential property,0,684248,FM
(vii) Reverse repurchase agreements,0,0,FM
(viii) To individuals and others for business purposes,0,0,FM
Of (A) Secured by residential property,0,0,FM
which: (B) Secured by other than residential property,0,0,FM
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FM
(i) Residential,(i) Residential,(i) Residential,FM
(A) Insured,0,0,FM
(B) Of which: NHA MBS pooled and unsold,0,0,FM
(C) Uninsured,0,324815,FM
(D) Reverse Mortgages,0,0,FM
(ii) Non-residential,0,0,FM
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FM
"5. Land, buildings, and equipment, less accumulated depreciation",0,38842,FM
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FM
(a) Insurance-related assets,0,0,FM
(b) Accrued interest,0,88705,FM
(c) Prepaid and deferred charges,0,25659,FM
(d) Goodwill,0,612260,FM
(e) Intangibles,(e) Intangibles,(e) Intangibles,FM
(i) with definite lives,0,195882,FM
(ii) with indefinite lives,0,15134,FM
(f) Deferred tax assets,0,30097,FM
(g) Derivatives related amounts,0,13750,FM
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FM
(i) Interests in associates and joint ventures,0,0,FM
(j) Other,0,55827,FM
Total  Assets,5135,7577299,FM
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,EW
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",215,4055,EW
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",7351,649069,EW
2. Securities,2. Securities,2. Securities,EW
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",EW
(i) Treasury Bills and other short term paper,0,99489,EW
(ii)Other securities,0,0,EW
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",EW
(i) Debt,0,0,EW
(ii) Shares,0,0,EW
3. Loans,3. Loans,3. Loans,EW
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",EW
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,EW
(ii) To regulated financial institutions,0,0,EW
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,143695,EW
(iv) To foreign governments,0,0,EW
(v) Lease receivables,0,0,EW
(vi) To individuals for non-business purposes,0,14429,EW
Of (A) Secured by residential property,0,0,EW
which: (B) Secured by other than residential property,0,14429,EW
(vii) Reverse repurchase agreements,0,0,EW
(viii) To individuals and others for business purposes,0,104727,EW
Of (A) Secured by residential property,0,28703,EW
which: (B) Secured by other than residential property,0,76024,EW
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",EW
(i) Residential,(i) Residential,(i) Residential,EW
(A) Insured,0,55186,EW
(B) Of which: NHA MBS pooled and unsold,0,0,EW
(C) Uninsured,0,57727,EW
(D) Reverse Mortgages,0,0,EW
(ii) Non-residential,0,209762,EW
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,EW
"5. Land, buildings, and equipment, less accumulated depreciation",0,5243,EW
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",EW
(a) Insurance-related assets,0,0,EW
(b) Accrued interest,0,4062,EW
(c) Prepaid and deferred charges,0,1614,EW
(d) Goodwill,0,0,EW
(e) Intangibles,(e) Intangibles,(e) Intangibles,EW
(i) with definite lives,0,457,EW
(ii) with indefinite lives,0,0,EW
(f) Deferred tax assets,0,1105,EW
(g) Derivatives related amounts,0,0,EW
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,EW
(i) Interests in associates and joint ventures,0,0,EW
(j) Other,0,0,EW
Total  Assets,7566,1350620,EW
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AU
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,AU
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,400974,AU
2. Securities,2. Securities,2. Securities,AU
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AU
(i) Treasury Bills and other short term paper,0,4970,AU
(ii)Other securities,0,13451,AU
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AU
(i) Debt,0,0,AU
(ii) Shares,0,3990,AU
3. Loans,3. Loans,3. Loans,AU
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AU
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AU
(ii) To regulated financial institutions,0,0,AU
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AU
(iv) To foreign governments,0,0,AU
(v) Lease receivables,0,0,AU
(vi) To individuals for non-business purposes,0,2043047,AU
Of (A) Secured by residential property,0,0,AU
which: (B) Secured by other than residential property,0,2043047,AU
(vii) Reverse repurchase agreements,0,0,AU
(viii) To individuals and others for business purposes,0,190776,AU
Of (A) Secured by residential property,0,0,AU
which: (B) Secured by other than residential property,0,190776,AU
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AU
(i) Residential,(i) Residential,(i) Residential,AU
(A) Insured,0,0,AU
(B) Of which: NHA MBS pooled and unsold,0,0,AU
(C) Uninsured,0,0,AU
(D) Reverse Mortgages,0,0,AU
(ii) Non-residential,0,676141,AU
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AU
"5. Land, buildings, and equipment, less accumulated depreciation",0,2652,AU
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AU
(a) Insurance-related assets,0,0,AU
(b) Accrued interest,0,12399,AU
(c) Prepaid and deferred charges,0,549,AU
(d) Goodwill,0,0,AU
(e) Intangibles,(e) Intangibles,(e) Intangibles,AU
(i) with definite lives,0,27,AU
(ii) with indefinite lives,0,0,AU
(f) Deferred tax assets,0,0,AU
(g) Derivatives related amounts,0,7186,AU
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AU
(i) Interests in associates and joint ventures,0,0,AU
(j) Other,0,96,AU
Total  Assets,0,3356258,AU
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BE
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,BE
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",291,226896,BE
2. Securities,2. Securities,2. Securities,BE
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BE
(i) Treasury Bills and other short term paper,0,0,BE
(ii)Other securities,0,73180,BE
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BE
(i) Debt,0,0,BE
(ii) Shares,0,0,BE
3. Loans,3. Loans,3. Loans,BE
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BE
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BE
(ii) To regulated financial institutions,0,0,BE
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BE
(iv) To foreign governments,0,0,BE
(v) Lease receivables,0,0,BE
(vi) To individuals for non-business purposes,0,0,BE
Of (A) Secured by residential property,0,0,BE
which: (B) Secured by other than residential property,0,0,BE
(vii) Reverse repurchase agreements,0,0,BE
(viii) To individuals and others for business purposes,0,0,BE
Of (A) Secured by residential property,0,0,BE
which: (B) Secured by other than residential property,0,0,BE
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BE
(i) Residential,(i) Residential,(i) Residential,BE
(A) Insured,0,0,BE
(B) Of which: NHA MBS pooled and unsold,0,0,BE
(C) Uninsured,0,3165728,BE
(D) Reverse Mortgages,0,0,BE
(ii) Non-residential,0,0,BE
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BE
"5. Land, buildings, and equipment, less accumulated depreciation",0,4483,BE
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BE
(a) Insurance-related assets,0,0,BE
(b) Accrued interest,0,11659,BE
(c) Prepaid and deferred charges,0,4352,BE
(d) Goodwill,0,0,BE
(e) Intangibles,(e) Intangibles,(e) Intangibles,BE
(i) with definite lives,0,219,BE
(ii) with indefinite lives,0,1307,BE
(f) Deferred tax assets,0,2165,BE
(g) Derivatives related amounts,0,0,BE
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BE
(i) Interests in associates and joint ventures,0,0,BE
(j) Other,0,8201,BE
Total  Assets,291,3498190,BE
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FP
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,FP
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,226568,FP
2. Securities,2. Securities,2. Securities,FP
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FP
(i) Treasury Bills and other short term paper,0,14965,FP
(ii)Other securities,0,24988,FP
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FP
(i) Debt,0,0,FP
(ii) Shares,0,0,FP
3. Loans,3. Loans,3. Loans,FP
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FP
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FP
(ii) To regulated financial institutions,0,0,FP
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FP
(iv) To foreign governments,0,0,FP
(v) Lease receivables,0,0,FP
(vi) To individuals for non-business purposes,0,584583,FP
Of (A) Secured by residential property,0,584583,FP
which: (B) Secured by other than residential property,0,0,FP
(vii) Reverse repurchase agreements,0,0,FP
(viii) To individuals and others for business purposes,0,0,FP
Of (A) Secured by residential property,0,0,FP
which: (B) Secured by other than residential property,0,0,FP
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FP
(i) Residential,(i) Residential,(i) Residential,FP
(A) Insured,0,0,FP
(B) Of which: NHA MBS pooled and unsold,0,0,FP
(C) Uninsured,0,6111514,FP
(D) Reverse Mortgages,0,0,FP
(ii) Non-residential,0,140651,FP
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FP
"5. Land, buildings, and equipment, less accumulated depreciation",0,392,FP
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FP
(a) Insurance-related assets,0,0,FP
(b) Accrued interest,0,41482,FP
(c) Prepaid and deferred charges,0,151,FP
(d) Goodwill,0,0,FP
(e) Intangibles,(e) Intangibles,(e) Intangibles,FP
(i) with definite lives,0,0,FP
(ii) with indefinite lives,0,0,FP
(f) Deferred tax assets,0,4928,FP
(g) Derivatives related amounts,0,0,FP
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FP
(i) Interests in associates and joint ventures,0,0,FP
(j) Other,0,43385,FP
Total  Assets,0,7193607,FP
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FO
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,FO
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,172202,FO
2. Securities,2. Securities,2. Securities,FO
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FO
(i) Treasury Bills and other short term paper,0,10344,FO
(ii)Other securities,0,0,FO
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FO
(i) Debt,0,0,FO
(ii) Shares,0,0,FO
3. Loans,3. Loans,3. Loans,FO
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FO
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FO
(ii) To regulated financial institutions,0,0,FO
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FO
(iv) To foreign governments,0,0,FO
(v) Lease receivables,0,0,FO
(vi) To individuals for non-business purposes,0,0,FO
Of (A) Secured by residential property,0,0,FO
which: (B) Secured by other than residential property,0,0,FO
(vii) Reverse repurchase agreements,0,0,FO
(viii) To individuals and others for business purposes,0,0,FO
Of (A) Secured by residential property,0,0,FO
which: (B) Secured by other than residential property,0,0,FO
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FO
(i) Residential,(i) Residential,(i) Residential,FO
(A) Insured,0,0,FO
(B) Of which: NHA MBS pooled and unsold,0,0,FO
(C) Uninsured,0,9320,FO
(D) Reverse Mortgages,0,6381895,FO
(ii) Non-residential,0,0,FO
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FO
"5. Land, buildings, and equipment, less accumulated depreciation",0,19787,FO
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FO
(a) Insurance-related assets,0,0,FO
(b) Accrued interest,0,1545660,FO
(c) Prepaid and deferred charges,0,5549,FO
(d) Goodwill,0,0,FO
(e) Intangibles,(e) Intangibles,(e) Intangibles,FO
(i) with definite lives,0,189,FO
(ii) with indefinite lives,0,427,FO
(f) Deferred tax assets,0,9665,FO
(g) Derivatives related amounts,0,2705,FO
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FO
(i) Interests in associates and joint ventures,0,0,FO
(j) Other,0,94251,FO
Total  Assets,0,8251994,FO
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,GA
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1600,6280,GA
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",12445,234938,GA
2. Securities,2. Securities,2. Securities,GA
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",GA
(i) Treasury Bills and other short term paper,0,0,GA
(ii)Other securities,0,48752,GA
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",GA
(i) Debt,0,125182,GA
(ii) Shares,5724,35527,GA
3. Loans,3. Loans,3. Loans,GA
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",GA
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,GA
(ii) To regulated financial institutions,0,13332,GA
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,31733,GA
(iv) To foreign governments,0,0,GA
(v) Lease receivables,0,7309,GA
(vi) To individuals for non-business purposes,0,230360,GA
Of (A) Secured by residential property,0,9673,GA
which: (B) Secured by other than residential property,0,151312,GA
(vii) Reverse repurchase agreements,0,0,GA
(viii) To individuals and others for business purposes,412,137635,GA
Of (A) Secured by residential property,0,122,GA
which: (B) Secured by other than residential property,412,134009,GA
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",GA
(i) Residential,(i) Residential,(i) Residential,GA
(A) Insured,0,482415,GA
(B) Of which: NHA MBS pooled and unsold,0,233455,GA
(C) Uninsured,0,1393825,GA
(D) Reverse Mortgages,0,21648,GA
(ii) Non-residential,0,1146394,GA
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,GA
"5. Land, buildings, and equipment, less accumulated depreciation",0,16130,GA
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",GA
(a) Insurance-related assets,0,0,GA
(b) Accrued interest,34,26273,GA
(c) Prepaid and deferred charges,0,17000,GA
(d) Goodwill,0,0,GA
(e) Intangibles,(e) Intangibles,(e) Intangibles,GA
(i) with definite lives,0,1308,GA
(ii) with indefinite lives,0,0,GA
(f) Deferred tax assets,0,12060,GA
(g) Derivatives related amounts,0,1246,GA
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,GA
(i) Interests in associates and joint ventures,0,0,GA
(j) Other,0,9639,GA
Total  Assets,20215,3998986,GA
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AZ
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,3,AZ
"(b) Deposits with regulated financial institutions, less allowances for impairment",6408,8728,AZ
2. Securities,2. Securities,2. Securities,AZ
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,AZ
(i) Treasury Bills and other short term paper,0,0,AZ
(ii)Other securities,0,0,AZ
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment",AZ
(i) Debt,0,0,AZ
(ii) Shares,0,0,AZ
3. Loans,3. Loans,3. Loans,AZ
